city,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
Palm Coast,1,190.0,488.6081632653061,0.0,18.624999626248844,0.0,0.0,0.0,0.0
Jacksonville,7,163.0,402.2571428571428,6.52066485845315,20.304418331984948,0.0,28.238999999999997,0.0,2.784
Gainesville,3,153.5,257.9632653061224,26.989129069301928,3.1258150451767905,0.0,123.595,0.0,7.953
Miami,10,139.5,455.07244897959185,56.25793427526887,12.747497702167216,1.347,253.958,1.347,13.934000000000001
Marianna,1,126.5,184.3836734693877,0.0,2.0013096038944935,0.0,0.0,0.0,0.0
Tampa,8,117.0,457.65686973731147,25.395911549540077,72.69044697079238,0.0,116.85799999999999,0.0,7.081999999999999
Tallahassee,3,77.5,212.29591836734696,30.400136583203178,3.458690370173831,0.0,132.633,0.0,7.055
Daytona Beach,3,75.5,102.08571428571429,0.0,33.37829917872672,0.0,0.0,0.0,0.0
Saint Petersburg,6,69.0,237.69795918367342,5.327809958000819,24.433615538524066,0.0,19.250999999999998,0.0,2.519
Pensacola,4,67.5,275.265306122449,11.959617785223388,1.490483338110725,0.0,50.575,0.0,3.9770000000000003
Fort Lauderdale,4,61.0,127.95918367346937,11.528934443262042,22.658629780745294,0.0,56.73,0.0,3.162
Orlando,4,57.0,187.56122448979596,2.492308065674841,9.909433010625943,2.313,11.078000000000001,0.245,1.141
Fernandina Beach,1,56.5,139.32857142857142,0.0,2.9540276137945876,0.0,0.0,0.0,0.0
Melbourne,4,54.0,73.09076262083781,0.0,35.67157228417633,0.0,0.0,0.0,0.0
Fort Myers,3,51.5,152.51020408163265,0.0,4.100353745885606,0.0,0.0,0.0,0.0
Ocala,3,49.0,209.85306122448978,0.0,17.509275132906073,0.0,0.0,0.0,0.0
Lakeland,1,43.0,203.19795918367348,0.0,0.7043345849006836,0.0,0.0,0.0,0.0
Naples,3,42.5,163.36268456132402,0.558756077308876,3.3990642743542248,0.0,1.478,0.0,0.415
Miami Beach,1,42.0,91.89183673469388,0.0,0.485906435432498,0.0,0.0,0.0,0.0
Plantation,2,40.5,144.9673469387755,0.0,24.8380970507721,0.0,0.0,0.0,0.0
Jay,1,40.0,110.05714285714286,0.0,9.761378071036571,0.0,0.0,0.0,0.0
Hialeah,3,39.5,122.69387755102039,0.5020408163265309,29.540366707857288,0.0,0.548,0.0,0.502
The Villages,2,39.0,142.98979591836732,0.0,9.53174531180586,0.0,0.0,0.0,0.0
Brooksville,2,38.5,108.38571428571427,0.0,3.749636988362756,0.0,0.0,0.0,0.0
Bradenton,3,38.0,89.34489795918368,2.020330143373097,12.805598659173675,1.725,8.681,1.357,2.006
Sarasota,3,37.0,131.341280148423,3.1800556586270865,14.09499401158964,0.0,16.747,0.0,0.95
Hollywood,1,34.5,77.49183673469388,0.0,2.0103894967734237,0.0,0.0,0.0,0.0
Tamarac,1,32.0,47.95714285714286,0.0,1.4469199467984637,0.0,0.0,0.0,0.0
Lake Butler,2,30.0,53.82857142857143,0.0,1.9684472309344823,0.0,0.0,0.0,0.0
Clearwater,1,30.0,133.49999999999997,0.0,0.4432400731975148,0.0,0.0,0.0,0.0
Panama City,3,29.5,83.22857142857141,11.242880408249857,7.026165066327952,0.0,48.708,0.0,2.68
Boca Raton,2,27.5,114.94897959183673,0.7014866894652213,7.485164998338941,0.0,1.836,0.0,0.526
Stuart,1,27.5,126.03673469387753,0.0,1.927481853212304,0.0,0.0,0.0,0.0
West Palm Beach,2,26.5,57.50816326530612,0.0,11.478320208734317,0.0,0.0,0.0,0.0
Aventura,1,26.0,95.14285714285715,0.0,3.0235460220215504,0.0,0.0,0.0,0.0
Brandon,1,24.0,76.66530612244897,0.0,2.011170733190552,0.0,0.0,0.0,0.0
Weston,1,24.0,42.453061224489794,0.0,1.7305722668906829,0.0,0.0,0.0,0.0
Fort Pierce,1,24.0,13.542857142857141,0.0,1.323514230941367,0.0,0.0,0.0,0.0
Leesburg,1,24.0,80.93265306122449,0.0,7.711746199618703,0.0,0.0,0.0,0.0
Winter Haven,1,24.0,132.0612244897959,9.525823136797122,0.0,0.0,37.129,0.0,3.087
Boynton Beach,1,23.5,63.397959183673464,0.0,0.8358804050842532,0.0,0.0,0.0,0.0
Kissimmee,2,23.5,57.385714285714286,9.640882113099153,1.0182146222154673,0.0,37.523,0.0,3.153
Largo,1,23.0,56.020408163265294,0.0,1.707292442335158,0.0,0.0,0.0,0.0
Saint Augustine,1,22.0,338.42448979591836,206.06174299376767,0.0,0.0,871.624,0.0,53.479
Palm Beach Gardens,1,21.5,38.33265306122449,0.0,1.27414191366608,0.0,0.0,0.0,0.0
Arcadia,1,21.0,73.86122448979592,0.0,2.2711459853115845,0.0,0.0,0.0,0.0
Tavares,1,20.5,62.96326530612243,0.0,3.035522632078036,0.0,0.0,0.0,0.0
Port Charlotte,2,20.5,88.13265306122447,6.073937275265491,12.269241491160912,0.0,31.089,0.0,1.976
Wauchula,1,19.5,81.22653061224487,0.0,3.8313859824646737,0.0,0.0,0.0,0.0
South Miami,2,18.0,82.60693877551022,2.004207849456402,2.0350599947608585,0.0,7.937,0.0,1.103
Sebring,2,17.0,56.908163265306115,0.0,4.897615376125039,0.0,0.0,0.0,0.0
Coral Gables,2,17.0,88.84897959183674,3.4400295788242765,0.0,0.0,14.519000000000002,0.0,1.25
Trinity,1,17.0,56.895918367346944,0.0,2.3580896926693744,0.0,0.0,0.0,0.0
Venice,1,16.5,23.730612244897955,0.0,5.841426925031876,0.0,0.0,0.0,0.0
Jupiter,1,16.0,29.675510204081633,0.0,0.9690524107785288,0.0,0.0,0.0,0.0
Hudson,1,16.0,41.871428571428574,0.0,9.885058509931811,0.0,0.0,0.0,0.0
Margate,1,15.0,79.62857142857142,4.521668498609373,0.0,0.0,17.622,0.0,1.926
Wellington,1,15.0,40.4265306122449,0.0,17.5347308065072,0.0,0.0,0.0,0.0
Orange City,1,14.5,37.23673469387755,0.0,9.039659566857559,0.0,0.0,0.0,0.0
Pompano Beach,1,14.5,51.99795918367345,0.0,0.5378382527370296,0.0,0.0,0.0,0.0
Fort Walton Beach,1,14.5,34.206122448979585,0.0,4.0931675257392905,0.0,0.0,0.0,0.0
Orange Park,1,14.5,82.8,3.2869477238707403,0.0,0.0,13.488,0.0,1.291
Sanford,1,14.0,33.618367346938776,0.0,0.30930947602058284,0.0,0.0,0.0,0.0
Pembroke Pines,2,13.0,79.47551020408164,26.167446282816062,3.855638263575166,0.0,122.737,0.0,4.72
Safety Harbor,1,12.5,77.54693877551021,9.564706645904401,0.0,0.0,40.677,0.0,3.141
Deland,1,12.0,33.734693877551024,0.0,8.962554081068557,0.0,0.0,0.0,0.0
Inverness,1,12.0,42.3734693877551,0.0,11.732572277420044,0.0,0.0,0.0,0.0
Vero Beach,1,12.0,38.179591836734694,0.0,1.3650405785024446,0.0,0.0,0.0,0.0
Dunedin,2,11.0,38.532653061224494,0.43589074596673055,2.080620073550782,0.0,1.154,0.0,0.257
Cape Coral,1,11.0,65.4795918367347,6.051391618963456,0.07306327964764404,0.0,28.801,0.0,1.743
New Port Richey,1,10.5,55.40816326530611,0.51630032227261,0.0,0.0,1.837,0.0,0.323
Miramar Beach,1,10.5,35.14285714285713,0.0,5.201806709041522,0.0,0.0,0.0,0.0
Miramar,1,10.0,47.0938775510204,2.1723315788350908,0.8318495062943143,0.0,8.217,0.0,1.545
Crestview,1,10.0,19.555102040816323,0.0,4.683557048637281,0.0,0.0,0.0,0.0
Punta Gorda,1,9.5,20.191836734693865,0.0,5.303501933922267,0.0,0.0,0.0,0.0
Port Saint Lucie,1,9.5,50.73061224489796,1.0340784608804476,0.48328657624080973,0.0,3.671,0.0,0.631
Loxahatchee,1,9.0,19.408163265306122,0.0,2.807978125757216,0.0,0.0,0.0,0.0
Coral Springs,1,8.5,78.83265306122449,36.70198475725199,0.0,0.0,161.478,0.0,8.232
Lake City,1,8.5,45.397959183673464,1.5145404011086088,0.0,0.0,5.807,0.0,0.516
Plant City,1,8.5,49.11428571428572,2.3700626750634948,0.0,0.0,9.827,0.0,0.885
Middleburg,1,8.0,37.17551020408164,0.0,0.401363873927058,0.0,0.0,0.0,0.0
Homestead,1,8.0,77.29591836734694,30.993202457162354,0.0,0.0,136.249,0.0,7.338
