date,active_patients,admissions,transfers,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
2020-12-15,1293.2197597367065,244.43593272627828,12.031298701298699,3.48,15.511,1.357,3.753
2020-12-16,1307.0710889775114,247.12210981608678,6.254784625892459,0.571,14.931,0.368,3.828
2020-12-17,1332.9308793256528,249.80828690589541,5.639406940397908,0.173,17.176,0.173,3.979
2020-12-18,1361.3471960350448,252.48119868958142,9.467093926239635,0.149,23.144,0.149,4.12
2020-12-19,1391.1157364703413,256.5941104732676,10.737800375546005,0.129,29.15,0.129,6.575
2020-12-20,1420.9892287977837,260.7070222569538,11.446175251787164,0.113,34.723,0.113,9.124
2020-12-21,1450.461419921323,264.81993404063985,11.971463350296096,0.1,39.69,0.1,11.371
2020-12-22,1479.3299218788648,268.932845824326,12.570877304956266,0.089,44.177,0.089,13.367
2020-12-23,1507.5348217636038,273.045757608012,13.189202268452302,0.08,48.672,0.08,15.155
2020-12-24,1535.0852527099987,277.15866939169825,13.499355353978927,0.073,52.842,0.073,16.769
2020-12-25,1562.0180471120723,281.26650600858034,14.911097810941111,0.067,57.713,0.067,18.239
2020-12-26,1591.4973144211526,288.48137416535104,16.09109979257197,0.062,62.965,0.062,19.876
2020-12-27,1622.8704025891134,295.6962423221217,17.159863754156778,0.057,68.282,0.057,21.633
2020-12-28,1655.7460454357351,302.9111104788925,18.586208349878618,0.054,74.041,0.054,23.486
2020-12-29,1689.8337746457894,310.1259786356632,20.05505176054028,0.051,80.175,0.051,25.415
2020-12-30,1724.9085840556772,317.3408467924342,21.98988087009583,0.048,86.954,0.048,27.407
2020-12-31,1760.7924198514302,324.5557149492048,24.305943668243817,0.046,94.595,0.046,29.45
2021-01-01,1797.285117068627,331.7132001527943,27.086265762021842,0.044,103.548,0.044,31.535
2021-01-02,1827.6981155646286,332.28450724877706,27.924783620513317,0.043,111.936,0.043,33.368
2021-01-03,1853.4578008930803,332.8558143447599,28.21442570306684,0.041,119.123,0.041,35.008
2021-01-04,1875.4488503480743,333.4271214407427,28.863397396430905,0.04,125.734,0.04,36.493
2021-01-05,1894.3464829295513,333.99842853672544,29.221372956073814,0.039,131.603,0.039,37.851
2021-01-06,1910.6866476169591,334.5697356327084,29.48267927798219,0.039,136.69,0.039,39.103
2021-01-07,1924.902665389406,335.1410427286912,30.07541311122059,0.038,141.346,0.038,40.267
2021-01-08,1937.3229366192325,335.6866052765607,30.948007673761524,0.037,146.008,0.037,41.359
2021-01-09,1943.4104592740907,331.39776130320104,30.307888894836655,0.037,149.283,0.037,42.69
2021-01-10,1944.5201059937344,327.1089173298415,29.600606709330606,0.036,151.208,0.036,44.202
2021-01-11,1941.556258517659,322.8200733564819,28.99899500887249,0.036,152.257,0.036,45.858
2021-01-12,1935.226384213099,318.53122938312225,28.26342213309143,0.036,152.466,0.036,47.633
2021-01-13,1926.1002948571365,314.2423854097627,27.63489187517197,0.036,151.875,0.036,49.506
2021-01-14,1914.643267250889,309.95354143640293,27.100259160538812,0.035,150.871,0.035,51.459
2021-01-15,1901.3732816825375,305.7996770438014,26.85388671023734,0.035,149.626,0.035,53.479
