hsa,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
"Bunnell, FL",1,190.0,488.6081632653061,0.0,18.624999626248844,0.0,0.0,0.0,0.0
"Gainesville, FL",5,183.5,311.79183673469385,26.989129069301928,5.094262276111273,0.0,123.595,0.0,7.953
"Miami, FL",13,181.5,669.5663265306123,89.36056057381315,15.771043724188768,1.347,398.898,1.347,21.967000000000002
"Jacksonville, FL",8,163.0,408.4991020408163,12.762624042126617,20.304418331984948,0.0,59.224999999999994,0.0,3.989
"Marianna, FL",1,126.5,184.3836734693877,0.0,2.0013096038944935,0.0,0.0,0.0,0.0
"Tampa, FL",10,117.5,457.65686973731147,25.395911549540077,75.26902931704785,0.0,116.85799999999999,0.0,7.081999999999999
"Tallahassee, FL",5,77.5,212.29591836734696,30.400136583203178,3.458690370173831,0.0,132.633,0.0,7.055
"Daytona Beach, FL",3,75.5,102.08571428571429,0.0,33.37829917872672,0.0,0.0,0.0,0.0
"St. Petersburg, FL",6,69.0,237.69795918367342,5.327809958000819,24.433615538524066,0.0,19.250999999999998,0.0,2.519
"Pensacola, FL",4,67.5,275.265306122449,11.959617785223388,1.490483338110725,0.0,50.575,0.0,3.9770000000000003
"Leesburg, FL",3,63.0,223.92244897959182,0.0,17.243491511424565,0.0,0.0,0.0,0.0
"Fort Lauderdale, FL",4,61.0,127.95918367346937,11.528934443262042,22.658629780745294,0.0,56.73,0.0,3.162
"Melbourne, FL",5,60.0,100.29892588614395,1.412274272082704,35.67157228417633,0.0,3.541,0.0,0.871
"Orlando, FL",4,57.0,187.56122448979596,2.492308065674841,9.909433010625943,2.313,11.078000000000001,0.245,1.141
"Fernandina Beach, FL",1,56.5,139.32857142857142,0.0,2.9540276137945876,0.0,0.0,0.0,0.0
"Fort Myers, FL",3,51.5,152.51020408163265,0.0,4.100353745885606,0.0,0.0,0.0,0.0
"West Palm Beach, FL",4,50.5,117.34285714285716,0.0,31.821029140998732,0.0,0.0,0.0,0.0
"Ocala, FL",4,49.0,209.85306122448978,0.0,17.509275132906073,0.0,0.0,0.0,0.0
"Lakeland, FL",1,43.0,203.19795918367348,0.0,0.7043345849006836,0.0,0.0,0.0,0.0
"Naples, FL",3,42.5,163.36268456132402,0.558756077308876,3.3990642743542248,0.0,1.478,0.0,0.415
"Miami Beach, FL",1,42.0,91.89183673469388,0.0,0.485906435432498,0.0,0.0,0.0,0.0
"Pembroke Pines, FL",3,41.0,151.32244897959183,28.339777861651154,2.5624217731849974,0.0,130.954,0.0,6.265
"Hollywood, FL",2,40.5,95.19183673469388,0.0,5.86602776034859,0.0,0.0,0.0,0.0
"Plantation, FL",2,40.5,144.9673469387755,0.0,24.8380970507721,0.0,0.0,0.0,0.0
"Jay, FL",1,40.0,110.05714285714286,0.0,9.761378071036571,0.0,0.0,0.0,0.0
"Hialeah, FL",4,39.5,122.69387755102039,0.5020408163265309,29.540366707857288,0.0,0.548,0.0,0.502
"Bradenton, FL",3,38.0,89.34489795918368,2.020330143373097,12.805598659173675,1.725,8.681,1.357,2.006
"Sarasota, FL",3,37.0,131.341280148423,3.1800556586270865,14.09499401158964,0.0,16.747,0.0,0.95
"Tamarac, FL",1,32.0,47.95714285714286,0.0,1.4469199467984637,0.0,0.0,0.0,0.0
"Winter Haven, FL",2,31.5,177.10408163265305,14.539028999034663,0.0,0.0,55.721,0.0,4.936
"Clearwater, FL",1,30.0,133.49999999999997,0.0,0.4432400731975148,0.0,0.0,0.0,0.0
"Panama City, FL",3,29.5,83.22857142857141,11.242880408249857,7.026165066327952,0.0,48.708,0.0,2.68
"Boca Raton, FL",2,27.5,114.94897959183673,0.7014866894652213,7.485164998338941,0.0,1.836,0.0,0.526
"Stuart, FL",1,27.5,126.03673469387753,0.0,1.927481853212304,0.0,0.0,0.0,0.0
"New Port Richey, FL",2,27.5,112.30408163265305,0.51630032227261,2.3580896926693744,0.0,1.837,0.0,0.323
"De Land, FL",2,26.5,70.97142857142858,0.0,18.002213647926116,0.0,0.0,0.0,0.0
"Palm Beach Gardens, FL",2,24.5,38.33265306122449,0.0,14.29936408069558,0.0,0.0,0.0,0.0
"Brandon, FL",1,24.0,76.66530612244897,0.0,2.011170733190552,0.0,0.0,0.0,0.0
"Fort Pierce, FL",1,24.0,13.542857142857141,0.0,1.323514230941367,0.0,0.0,0.0,0.0
"Boynton Beach, FL",1,23.5,63.397959183673464,0.0,0.8358804050842532,0.0,0.0,0.0,0.0
"Kissimmee, FL",2,23.5,57.385714285714286,9.640882113099153,1.0182146222154673,0.0,37.523,0.0,3.153
