system_name,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
HCA Healthcare,42,637.5,2343.193469387755,125.77714955526575,119.99642745929333,0.0,541.123,0.0,38.50799999999999
Adventist Health System,17,341.5,1092.9097959183673,52.92865516517561,86.43236255412835,0.0,236.724,0.0,13.239
Unknown,43,319.5,861.3509568960383,254.29122372301558,202.07105203998103,0.0,1102.8850000000002,0.0,64.676
Trinity Health,11,208.5,897.9714285714284,25.196091045462765,11.296546897871771,0.0,99.893,0.0,8.977
UF Health,2,191.5,195.5081632653061,0.0,7.141321192229262,0.0,0.0,0.0,0.0
Tenet Healthcare Corporation,9,136.0,376.9010204081632,3.3129513471736733,19.89026829781559,0.0,11.075000000000001,0.0,1.723
Community Health Systems,13,122.0,345.60996247192065,9.64293462589295,49.623417027658625,0.0,37.35,0.0,3.725
Baptist Health South Florida,7,109.5,483.6018007202882,79.1350069944903,5.975425986374544,1.347,352.045,1.347,19.051000000000002
Ascension Health,6,85.0,329.1428571428571,15.43205367186891,12.52122982479522,0.0,70.206,0.0,4.401
Baptist Health,4,72.5,191.55882563167887,0.049651842561447494,10.787717461409834,0.0,0.083,0.0,0.041
Baptist Health Care,3,68.0,189.34897959183672,5.874828412664764,10.918689433039415,0.531,25.679,0.531,1.472
Tallahassee Memorial Healthcare,3,67.5,123.65781953327011,0.5231256557190814,3.458690370173831,0.0,1.921,0.0,0.195
Orlando Health,3,64.0,220.5061224489796,11.071085007689014,13.075657493749512,0.0,44.712,0.0,3.333
Lee Health,3,62.5,217.98979591836735,6.051391618963456,4.173417025533249,0.0,28.801,0.0,1.743
Memorial Healthcare System,4,57.5,204.0612244897959,28.339777861651154,6.697877266642903,0.0,130.954,0.0,6.265
Health First,4,53.5,111.33673469387755,1.412274272082704,13.960437173874025,0.0,3.541,0.0,0.871
Halifax Health,1,52.5,40.18775510204082,0.0,8.60838745669653,0.0,0.0,0.0,0.0
Broward Health,4,47.0,225.94897959183672,48.23091920051404,1.9426774399394546,0.0,218.208,0.0,11.393999999999998
Lakeland Regional Health System,1,43.0,203.19795918367348,0.0,0.7043345849006836,0.0,0.0,0.0,0.0
Mount Sinai Medical Center of Florida,1,42.0,91.89183673469388,0.0,0.485906435432498,0.0,0.0,0.0,0.0
Central Florida Health Alliance,2,40.0,158.79183673469385,0.0,11.329472919469453,0.0,0.0,0.0,0.0
Universal Health Services,3,31.5,82.10816326530613,2.020330143373097,24.6358303176414,1.725,8.681,1.357,2.006
Sarasota Memorial Health Care System,1,29.0,106.38367346938776,0.0,10.926452571659397,0.0,0.0,0.0,0.0
Martin Health System,1,27.5,126.03673469387753,0.0,1.927481853212304,0.0,0.0,0.0,0.0
Mayo Clinic,1,27.0,37.44489795918368,0.0,1.2926951022439628,0.0,0.0,0.0,0.0
The Cleveland Clinic Health System,1,24.0,42.453061224489794,0.0,1.7305722668906829,0.0,0.0,0.0,0.0
NCH Healthcare System,1,23.5,109.2061224489796,0.558756077308876,0.0,0.0,1.478,0.0,0.415
Northwell Health,1,20.5,84.48367346938775,0.0,7.345573161604246,0.0,0.0,0.0,0.0
Ardent Health Services,1,19.0,16.78775510204082,0.0,7.026165066327952,0.0,0.0,0.0,0.0
Indian River Memorial Hospital,1,12.0,38.179591836734694,0.0,1.3650405785024446,0.0,0.0,0.0,0.0
Steward Health Care System,3,10.0,15.919334049409233,0.0,3.5364335486138456,0.0,0.0,0.0,0.0
Prime Healthcare Services,1,8.0,9.00049261083744,0.0,2.274401059379737,0.0,0.0,0.0,0.0
University of Miami Health System,1,7.5,28.8734693877551,0.6346938775510207,1.6418907151365412,0.0,0.642,0.0,0.635
Parrish Healthcare,1,6.0,13.469387755102039,0.0,3.3784626683467502,0.0,0.0,0.0,0.0
Johns Hopkins Health System,1,0.5,0.0,0.0,2.3105848478558606,0.0,0.0,0.0,0.0
Jackson Health System,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemours Childrens Health System,1,0.0,0.0,0.0,0.0,2.313,2.313,0.245,0.245
Nicklaus Childrens Health System,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Health Sciences Center,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
