hospital_name,hospital_id,system_name,city,hrr,hsa,capacity,admissions,transfers_out,transfers_in,overflow_wtfr,overflow_notfr,maxload_wtfr,maxload_notfr,requiredbeds_wtfr,requiredbeds_notfr
Adventist Healthcare Fort Washington Medical Center,210060,,Fort Washington,"Washington, DC","Washington, DC",8.0,13.291836734693874,0.0,28.154476233770875,0.0,0.0,1.0,0.4063775510204081,0.0,0.0
Adventist Healthcare Shady Grove Medical Center,210057,Adventist Healthcare,Rockville,"Washington, DC","Rockville, MD",13.0,48.122448979591866,0.0,14.826701222439063,0.0,0.0,1.0,0.8191522762951334,0.0,0.0
Adventist Healthcare White Oak Medical Center,210016,Adventist Healthcare,Silver Spring,"Takoma Park, MD","Silver Spring, MD",14.0,64.46938775510203,0.0,11.444841163409738,0.0,0.0,1.0,0.9782385558792317,0.0,0.0
Anne Arundel Medical Center,210023,Anne Arundel Health System,Annapolis,"Washington, DC","Annapolis, MD",15.5,138.37346938775508,49.87236440315051,0.0,0.0,222.49,1.0000000000000002,1.6956333715758118,0.0,10.782
Atlantic General Hospital,210061,Atlantic General Health System,Berlin,"Salisbury, MD","Salisbury, MD",4.0,22.34081632653061,3.212690228627114,0.0,0.0,13.661,1.0000000000000002,1.213444471401975,0.0,0.854
Baltimore Convention Center Alternate Care Site,210068,,Baltimore,"Baltimore, MD","Baltimore, MD",0.0,75.66734693877551,75.66734693877552,0.0,0.0,344.829,NaN,Inf,0.0,14.797
CalvertHealth Medical Center,210039,Calvert Health System,Prince Frederick,"Washington, DC","Prince Frederick, MD",3.0,27.98571428571429,12.939546908287472,0.0,0.0,57.577,1.0000000000000004,2.163570163940923,0.0,3.491
Carroll Hospital Center,210033,LifeBridge Health,Westminster,"Baltimore, MD","Westminster, MD",5.5,49.35306122448981,23.118612627120022,0.0,0.276,109.392,1.0500927643784785,1.9515280733767775,0.276,5.233
Doctors Community Hospital,210051,,Lanham,"Takoma Park, MD","Lanham, MD",18.0,38.442857142857136,0.0,33.72886681178896,0.0,0.0,1.0,0.695124716553288,0.0,0.0
Frederick Health Hospital,210005,Frederick Regional Health System,Frederick,"Washington, DC","Frederick, MD",9.0,98.11836734693875,53.15434699969943,0.0,0.0,242.217,1.0000000000000009,2.1394950684553313,0.0,10.255
Garrett County Memorial Hospital,210017,,Oakland,"Morgantown, WV","Oakland, MD",2.0,14.085092885956296,4.7186001835294356,0.0,0.204,24.959,1.1020408163265307,1.5446776604892523,0.204,1.089
Grace Medical Center,210013,Bon Secours Health System,Baltimore,"Baltimore, MD","Baltimore, MD",0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0
Greater Baltimore Medical Center,210044,Greater Baltimore Medical Center,Baltimore,"Baltimore, MD","Baltimore, MD",12.0,24.685714285714297,0.0,26.472021943830583,0.0,0.0,0.9110660048113058,0.402551829346577,0.0,0.0
