location_name,location_id,lat,long,beds,occupancy,load
Algoma Public Health Unit,3526,47.64958066991726,-83.81683871582788,14,10.0,0.7142857142857143
Brant County Health Unit,3527,43.12020591432623,-80.29536678664397,15,15.0,1.0
Durham Region Health Department,3530,44.082541450887256,-78.95384106103936,42,41.0,0.9761904761904762
Grey Bruce Health Unit,3533,44.40849478020233,-81.00940436583363,6,6.0,1.0
Haldimand-Norfolk Health Unit,3534,42.85371077971452,-80.17857956798804,0,0.0,0.0
"Haliburton, Kawartha, Pine Ridge District Health Unit",3535,44.72971510851205,-78.51518582436383,9,4.0,0.4444444444444444
Halton Region Health Department,3536,43.51187019988231,-79.89041937814925,52,58.0,1.1153846153846154
Hamilton Public Health Services,3537,43.25304795970765,-79.9583522771462,79,31.0,0.3924050632911392
Hastings and Prince Edward Counties Health Unit,3538,44.62597372279936,-77.54993817092264,18,19.0,1.0555555555555556
Huron Perth District Health Unit,3539,43.59947716418946,-81.28141428446021,6,8.0,1.3333333333333333
Chatham-Kent Health Unit,3540,42.41882030523797,-82.12819677970896,10,5.0,0.5
"Kingston, Frontenac and Lennox & Addington Public Health",3541,44.65770556146783,-76.86975563284562,35,38.0,1.0857142857142856
Lambton Public Health,3542,42.87007728763321,-82.11720269339618,14,10.0,0.7142857142857143
"Leeds, Grenville and Lanark District Health Unit",3543,44.86186324442661,-76.11735955618933,10,6.0,0.6
Middlesex-London Health Unit,3544,42.995176368659955,-81.45709358487606,56,60.0,1.0714285714285714
Niagara Region Public Health Department,3546,43.045211556425635,-79.31359311424332,22,32.0,1.4545454545454546
North Bay Parry Sound District Health Unit,3547,46.07693906717377,-79.68966760230002,17,6.0,0.35294117647058826
Northwestern Health Unit,3549,51.40340090723551,-92.55969393962734,0,0.0,0.0
Ottawa Public Health,3551,45.2931795095492,-75.77527294236704,85,77.0,0.9058823529411765
Peel Public Health,3553,43.76124434896542,-79.81340084908516,97,61.0,0.6288659793814433
Peterborough Public Health,3555,44.535608379617756,-78.21240629667545,27,25.0,0.9259259259259259
Porcupine Health Unit,3556,51.726336924730695,-83.46472084338039,6,5.0,0.8333333333333334
Renfrew County and District Health Unit,3557,45.716501009332596,-77.84584979163243,8,4.0,0.5
Eastern Ontario Health Unit,3558,45.27185307600537,-74.95290729745705,12,9.0,0.75
Simcoe Muskoka District Health Unit,3560,44.77460027415469,-79.5515988926175,35,23.0,0.6571428571428571
Sudbury & District Health Unit,3561,47.21814508841532,-82.04181163859943,14,11.0,0.7857142857142857
Thunder Bay District Health Unit,3562,52.22932166093084,-88.51388580304469,22,15.0,0.6818181818181818
Timiskaming Health Unit,3563,47.64868023692281,-80.21433562436277,0,0.0,0.0
"Region of Waterloo, Public Health",3565,43.462612349245276,-80.5385815376411,44,45.0,1.0227272727272727
Wellington-Dufferin-Guelph Public Health,3566,43.85264268596915,-80.37216986261173,10,8.0,0.8
Windsor-Essex County Health Unit,3568,42.14727866269653,-82.77585287546759,39,26.0,0.6666666666666666
York Region Public Health Services,3570,44.0740498958168,-79.42838158658654,48,78.0,1.625
Southwestern Public Health,3575,42.918417273184076,-80.99040347752278,22,15.0,0.6818181818181818
Toronto Public Health,3595,43.725344704410205,-79.3895790779054,312,309.0,0.9903846153846154
