hospital,hospital_id,date,active_acute,active_icu,active_allbeds
Anne Arundel Medical Center,h39740093,2020-03-25,4,3,7
Anne Arundel Medical Center,h39740093,2020-03-26,8,1,9
Anne Arundel Medical Center,h39740093,2020-03-27,11,3,14
Anne Arundel Medical Center,h39740093,2020-03-28,11,4,15
Anne Arundel Medical Center,h39740093,2020-03-29,8,4,12
Anne Arundel Medical Center,h39740093,2020-03-30,8,3,11
Anne Arundel Medical Center,h39740093,2020-03-31,10,4,14
Anne Arundel Medical Center,h39740093,2020-04-01,,,
Anne Arundel Medical Center,h39740093,2020-04-02,8,6,14
Anne Arundel Medical Center,h39740093,2020-04-03,13,8,21
Anne Arundel Medical Center,h39740093,2020-04-04,18,14,32
Anne Arundel Medical Center,h39740093,2020-04-05,68,14,82
Anne Arundel Medical Center,h39740093,2020-04-06,57,13,70
Anne Arundel Medical Center,h39740093,2020-04-07,67,9,76
Anne Arundel Medical Center,h39740093,2020-04-08,45,12,57
Anne Arundel Medical Center,h39740093,2020-04-09,36,11,47
Anne Arundel Medical Center,h39740093,2020-04-10,31,15,46
Anne Arundel Medical Center,h39740093,2020-04-11,36,19,55
Anne Arundel Medical Center,h39740093,2020-04-12,54,19,73
Anne Arundel Medical Center,h39740093,2020-04-13,51,16,67
Anne Arundel Medical Center,h39740093,2020-04-14,40,17,57
Anne Arundel Medical Center,h39740093,2020-04-15,60,21,81
Anne Arundel Medical Center,h39740093,2020-04-16,58,22,80
Anne Arundel Medical Center,h39740093,2020-04-17,61,20,81
Anne Arundel Medical Center,h39740093,2020-04-18,78,19,97
Anne Arundel Medical Center,h39740093,2020-04-19,65,23,88
Anne Arundel Medical Center,h39740093,2020-04-20,70,23,93
Anne Arundel Medical Center,h39740093,2020-04-21,81,18,99
Anne Arundel Medical Center,h39740093,2020-04-22,72,19,91
Anne Arundel Medical Center,h39740093,2020-04-23,73,21,94
Anne Arundel Medical Center,h39740093,2020-04-24,77,17,94
Anne Arundel Medical Center,h39740093,2020-04-25,80,16,96
Anne Arundel Medical Center,h39740093,2020-04-26,76,17,93
Anne Arundel Medical Center,h39740093,2020-04-27,74,17,91
Anne Arundel Medical Center,h39740093,2020-04-28,70,20,90
Anne Arundel Medical Center,h39740093,2020-04-29,68,18,86
Anne Arundel Medical Center,h39740093,2020-04-30,70,19,89
Anne Arundel Medical Center,h39740093,2020-05-01,72,19,91
Anne Arundel Medical Center,h39740093,2020-05-02,64,19,83
Anne Arundel Medical Center,h39740093,2020-05-03,67,15,82
Anne Arundel Medical Center,h39740093,2020-05-04,58,19,77
Anne Arundel Medical Center,h39740093,2020-05-05,56,19,75
Anne Arundel Medical Center,h39740093,2020-05-06,45,18,63
Anne Arundel Medical Center,h39740093,2020-05-07,42,17,59
Anne Arundel Medical Center,h39740093,2020-05-08,49,27,76
Anne Arundel Medical Center,h39740093,2020-05-09,50,32,82
Anne Arundel Medical Center,h39740093,2020-05-10,50,31,81
Anne Arundel Medical Center,h39740093,2020-05-11,45,30,75
Anne Arundel Medical Center,h39740093,2020-05-12,52,32,84
Anne Arundel Medical Center,h39740093,2020-05-13,53,30,83
Anne Arundel Medical Center,h39740093,2020-05-14,40,25,65
Anne Arundel Medical Center,h39740093,2020-05-15,45,22,67
Anne Arundel Medical Center,h39740093,2020-05-16,41,20,61
Anne Arundel Medical Center,h39740093,2020-05-17,54,19,73
Anne Arundel Medical Center,h39740093,2020-05-18,38,22,60
Anne Arundel Medical Center,h39740093,2020-05-19,37,20,57
Anne Arundel Medical Center,h39740093,2020-05-20,37,22,59
Anne Arundel Medical Center,h39740093,2020-05-21,32,21,53
Anne Arundel Medical Center,h39740093,2020-05-22,29,23,52
Anne Arundel Medical Center,h39740093,2020-05-23,31,22,53
Anne Arundel Medical Center,h39740093,2020-05-24,25,23,48
Anne Arundel Medical Center,h39740093,2020-05-25,30,19,49
Anne Arundel Medical Center,h39740093,2020-05-26,30,20,50
Anne Arundel Medical Center,h39740093,2020-05-27,25,20,45
Anne Arundel Medical Center,h39740093,2020-05-28,29,20,49
Anne Arundel Medical Center,h39740093,2020-05-29,24,20,44
Anne Arundel Medical Center,h39740093,2020-05-30,23,18,41
Anne Arundel Medical Center,h39740093,2020-05-31,26,18,44
Anne Arundel Medical Center,h39740093,2020-06-01,28,19,47
Anne Arundel Medical Center,h39740093,2020-06-02,26,19,45
Anne Arundel Medical Center,h39740093,2020-06-03,26,20,46
Anne Arundel Medical Center,h39740093,2020-06-04,31,19,50
Anne Arundel Medical Center,h39740093,2020-06-05,36,16,52
Anne Arundel Medical Center,h39740093,2020-06-06,36,16,52
Anne Arundel Medical Center,h39740093,2020-06-07,32,16,48
Anne Arundel Medical Center,h39740093,2020-06-08,30,15,45
Anne Arundel Medical Center,h39740093,2020-06-09,22,17,39
Anne Arundel Medical Center,h39740093,2020-06-10,19,17,36
Anne Arundel Medical Center,h39740093,2020-06-11,16,15,31
Anne Arundel Medical Center,h39740093,2020-06-12,12,14,26
Anne Arundel Medical Center,h39740093,2020-06-13,14,12,26
Anne Arundel Medical Center,h39740093,2020-06-14,14,12,26
Anne Arundel Medical Center,h39740093,2020-06-15,11,12,23
Anne Arundel Medical Center,h39740093,2020-06-16,12,12,24
Anne Arundel Medical Center,h39740093,2020-06-17,16,10,26
Anne Arundel Medical Center,h39740093,2020-06-18,15,11,26
Anne Arundel Medical Center,h39740093,2020-06-19,16,10,26
Anne Arundel Medical Center,h39740093,2020-06-20,15,8,23
Anne Arundel Medical Center,h39740093,2020-06-21,14,8,22
Anne Arundel Medical Center,h39740093,2020-06-22,12,7,19
Anne Arundel Medical Center,h39740093,2020-06-23,14,8,22
Anne Arundel Medical Center,h39740093,2020-06-24,16,7,23
Anne Arundel Medical Center,h39740093,2020-06-25,14,8,22
Anne Arundel Medical Center,h39740093,2020-06-26,13,8,21
Anne Arundel Medical Center,h39740093,2020-06-27,14,5,19
Anne Arundel Medical Center,h39740093,2020-06-28,16,5,21
Anne Arundel Medical Center,h39740093,2020-06-29,18,5,23
Anne Arundel Medical Center,h39740093,2020-06-30,20,4,24
Anne Arundel Medical Center,h39740093,2020-07-01,15,4,19
Anne Arundel Medical Center,h39740093,2020-07-02,14,5,19
Anne Arundel Medical Center,h39740093,2020-07-03,14,5,19
Anne Arundel Medical Center,h39740093,2020-07-04,14,5,19
Anne Arundel Medical Center,h39740093,2020-07-05,10,5,15
Anne Arundel Medical Center,h39740093,2020-07-06,10,5,15
Anne Arundel Medical Center,h39740093,2020-07-07,12,5,17
Anne Arundel Medical Center,h39740093,2020-07-08,15,4,19
Anne Arundel Medical Center,h39740093,2020-07-09,16,4,20
Anne Arundel Medical Center,h39740093,2020-07-10,16,3,19
Anne Arundel Medical Center,h39740093,2020-07-11,18,3,21
Anne Arundel Medical Center,h39740093,2020-07-12,14,4,18
Anne Arundel Medical Center,h39740093,2020-07-13,16,4,20
Anne Arundel Medical Center,h39740093,2020-07-14,17,4,21
Anne Arundel Medical Center,h39740093,2020-07-15,16,4,20
Anne Arundel Medical Center,h39740093,2020-07-16,14,4,18
Anne Arundel Medical Center,h39740093,2020-07-17,18,4,22
Anne Arundel Medical Center,h39740093,2020-07-18,20,4,24
Anne Arundel Medical Center,h39740093,2020-07-19,19,3,22
Anne Arundel Medical Center,h39740093,2020-07-20,18,3,21
Anne Arundel Medical Center,h39740093,2020-07-21,20,4,24
Anne Arundel Medical Center,h39740093,2020-07-22,18,3,21
Anne Arundel Medical Center,h39740093,2020-07-23,15,6,21
Anne Arundel Medical Center,h39740093,2020-07-24,18,5,23
Anne Arundel Medical Center,h39740093,2020-07-25,22,5,27
Anne Arundel Medical Center,h39740093,2020-07-26,17,7,24
Anne Arundel Medical Center,h39740093,2020-07-27,18,7,25
Anne Arundel Medical Center,h39740093,2020-07-28,22,4,26
Anne Arundel Medical Center,h39740093,2020-07-29,20,5,25
Anne Arundel Medical Center,h39740093,2020-07-30,18,5,23
Anne Arundel Medical Center,h39740093,2020-07-31,21,4,25
Anne Arundel Medical Center,h39740093,2020-08-01,20,4,24
Anne Arundel Medical Center,h39740093,2020-08-02,22,3,25
Anne Arundel Medical Center,h39740093,2020-08-03,22,4,26
Anne Arundel Medical Center,h39740093,2020-08-04,23,2,25
Anne Arundel Medical Center,h39740093,2020-08-05,18,2,20
Anne Arundel Medical Center,h39740093,2020-08-06,17,2,19
Anne Arundel Medical Center,h39740093,2020-08-07,17,2,19
Anne Arundel Medical Center,h39740093,2020-08-08,15,3,18
Anne Arundel Medical Center,h39740093,2020-08-09,13,2,15
Anne Arundel Medical Center,h39740093,2020-08-10,9,2,11
Anne Arundel Medical Center,h39740093,2020-08-11,13,2,15
Anne Arundel Medical Center,h39740093,2020-08-12,15,2,17
Anne Arundel Medical Center,h39740093,2020-08-13,15,3,18
Anne Arundel Medical Center,h39740093,2020-08-14,13,3,16
