hospital,hhsname,hospital_id,lat,long,total_beds,total_occupancy,total_load,icu_beds,icu_occupancy,icu_load
Abbeville Area Medical Center,ABBEVILLE AREA MEDICAL CENTER,421301,34.1578512,-82.3814742,18.0,11.9,0.6611111111111111,6.0,4.7,0.7833333333333333
Abbeville General Hospital,ABBEVILLE GENERAL HOSPITAL,190034,29.973708,-92.1077483,38.0,18.9,0.4973684210526315,5.0,4.6,0.9199999999999999
Abbott Northwestern Hospital,ABBOTT NORTHWESTERN HOSPITAL,240057,44.9525623,-93.2620166,457.6,445.9,0.9744318181818181,54.4,54.1,0.9944852941176471
Abilene Regional Medical Center,ABILENE REGIONAL MEDICAL CENTER,450558,32.3746583,-99.744019,91.1,89.3,0.9802414928649835,15.0,14.0,0.9333333333333333
Abington Memorial Hospital,ABINGTON MEMORIAL HOSPITAL,390231,40.11906889999999,-75.11990639999999,531.1,463.7,0.873093579363585,61.0,49.3,0.8081967213114754
Abraham Lincoln Memorial Hospital,ABRAHAM LINCOLN MEMORIAL HOSPITAL,141322,40.1534836,-89.3900347,25.0,22.7,0.9079999999999999,0.0,0.0,0.0
Abrazo Arrowhead Campus,ABRAZO ARROWHEAD CAMPUS,030094,33.6544301,-112.201574,263.0,160.9,0.611787072243346,38.0,32.0,0.8421052631578947
Abrazo Central Campus,ABRAZO CENTRAL CAMPUS,030030,33.525601,-112.1020655,168.7,92.1,0.5459395376407824,28.0,15.3,0.5464285714285715
Abrazo Scottsdale Campus,ABRAZO SCOTTSDALE CAMPUS,030083,33.6392902,-111.9975215,125.0,54.9,0.4392,14.0,9.4,0.6714285714285715
Abrazo West Campus,ABRAZO WEST CAMPUS,030110,33.4625907,-112.3520988,321.0,177.7,0.5535825545171339,59.0,15.9,0.26949152542372884
Acadia St. Landry,ACADIA ST LANDRY,191319,30.3953471,-92.2112161,15.0,5.0,0.3333333333333333,0.0,0.0,0.0
Acadian Medical Center,ACADIAN MEDICAL CENTER,190318,30.4966648,-92.386265,25.3,18.9,0.7470355731225296,4.0,4.0,1.0
A.C.M.H. Hospital,ACMH HOSPITAL,390163,40.8085788,-79.56145769999999,54.4,52.7,0.9687500000000001,10.0,8.4,0.8400000000000001
Acuity Specialty Hospital of New Jersey,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,312023,39.3583314,-74.4342891,53.0,30.1,0.5679245283018868,0.0,0.0,0.0
Acuity Specialty Hospital of Southern New Jersey,ACUITY SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,312022,40.0466267,-74.88083240000002,66.7,30.9,0.4632683658170914,0.0,0.0,0.0
Acuity Specialty Hospital Ohio Valley,ACUITY SPECIALTY HOSPITAL OHIO VALLEY,512005,40.39556,-80.527957,49.0,38.0,0.7755102040816326,0.0,0.0,0.0
"AD Hospital East, L.L.C.","AD HOSPITAL EAST, LLC",670102,29.7706117,-95.2003654,4.0,0.0,0.0,0.0,0.0,0.0
Adair County Memorial Hospital,ADAIR COUNTY MEMORIAL HOSPITAL,161310,41.30373669999999,-94.45183510000001,4.1,4.3,1.048780487804878,0.0,0.0,0.0
Adams County Regional Medical Center,ADAMS COUNTY REGIONAL MEDICAL CENTER,361326,38.9337525,-83.5846103,20.1,14.9,0.7412935323383084,0.0,0.0,0.0
Adams Memorial Hospital,ADAMS MEMORIAL HOSPITAL,151330,40.8168794,-84.91442669999999,36.0,22.7,0.6305555555555555,6.0,4.0,0.6666666666666666
Fayette County Memorial Hospital,ADENA FAYETTE MEDICAL CENTER,361331,39.5480986,-83.42766689999999,25.0,19.6,0.784,6.0,6.0,1.0
Adena Pike Medical Center,ADENA PIKE MEDICAL CENTER,361334,39.1163155,-83.00415939999999,30.0,24.7,0.8233333333333334,0.0,0.0,0.0
