hospital,zipcode,lat,long
Surgery Center Of Zachary,70791,30.651982,-91.15444
Healthpromed,775,18.326599,-65.30772
Hospital San Antonio,680,18.182055,-67.132502
Cdt Susana Centeno,765,18.130096,-65.439369
Centro Medico Correccional De Bayamon,960,18.416919,-66.145795
Crescent City Surgical Centre,70118,29.944727,-90.125661
El Paso Ltac Hospital,79902,31.783715,-106.498544
Alexandria Emergency Hospital,71303,31.281321,-92.547344
Hospital Industrial C.F.S.E,935,36.41568569008179,-89.93698683895991
Elite Medical Center,89109,36.13172,-115.168382
Prattville Baptist Hospital,36067,32.516518,-86.561483
Thomas Hospital,36532,30.480713,-87.861306
South Baldwin Regional Medical Center,36535,30.383999,-87.727359
North Baldwin Infirmary,36507,30.858609,-87.742025
Medical Center Barbour,36027,32.060643,-85.116624
Bibb Medical Center,35042,32.957991,-87.103816
St Vincents Blount,35121,33.941185,-86.455102
Bullock County Hospital,36089,32.151049,-85.698646
Regional Medical Center Of Central Alabama,36037,31.799009,-86.628615
"Noland Hospital Anniston Ii, Llc",36202,36.41568569008179,-89.93698683895991
Stringfellow Memorial Hospital,36201,33.64916,-85.879642
Northeast Alabama Regional Medical Center,36207,33.680317,-85.709537
Eamc - Lanier,36854,32.751613,-85.189484
Floyd Cherokee Medical Center,35960,34.124328,-85.570557
St Vincent'S Chilton,35045,32.799962,-86.676761
Choctaw General Hospital,36904,32.100587,-88.260758
Grove Hill Memorial Hospital,36451,31.700517,-87.803568
Thomasville Regional Medical Center,36784,31.926927,-87.787887
Jackson Medical Center,36545,31.488511,-87.871704
Clay County Hospital,36251,33.222279,-85.872376
Medical Center Enterprise,36330,31.305932,-85.864054
Shoals Hospital,35661,34.768526,-87.562802
Helen Keller Memorial Hospital,35660,34.755494,-87.701265
Evergreen Medical Center,36401,31.480653,-86.940722
Mizell Memorial Hospital,36467,31.281017,-86.256945
Andalusia Health,36420,31.172401,-86.565077
Crenshaw Community Hospital,36049,31.768143,-86.277257
Cullman Regional Medical Center,35058,34.228856,-86.737261
Dale Medical Center,36360,31.467469,-85.61703
