location_name,location_id,date,beds_total,occupancy_total,occupancy_covid
Algoma Public Health Unit,3526,2020-03-24,,,
Algoma Public Health Unit,3526,2020-03-25,,,
Algoma Public Health Unit,3526,2020-03-26,,,
Algoma Public Health Unit,3526,2020-03-27,,,
Algoma Public Health Unit,3526,2020-03-28,,,
Algoma Public Health Unit,3526,2020-03-29,,,
Algoma Public Health Unit,3526,2020-03-30,,,
Algoma Public Health Unit,3526,2020-03-31,,,
Algoma Public Health Unit,3526,2020-04-01,,,
Algoma Public Health Unit,3526,2020-04-02,,,
Algoma Public Health Unit,3526,2020-04-03,,,
Algoma Public Health Unit,3526,2020-04-04,,,
Algoma Public Health Unit,3526,2020-04-05,,,
Algoma Public Health Unit,3526,2020-04-06,,,
Algoma Public Health Unit,3526,2020-04-07,,,
Algoma Public Health Unit,3526,2020-04-08,,,
Algoma Public Health Unit,3526,2020-04-09,,,
Algoma Public Health Unit,3526,2020-04-10,,,
Algoma Public Health Unit,3526,2020-04-11,,,
Algoma Public Health Unit,3526,2020-04-12,,,
Algoma Public Health Unit,3526,2020-04-13,,,
Algoma Public Health Unit,3526,2020-04-14,,,
Algoma Public Health Unit,3526,2020-04-15,,,
Algoma Public Health Unit,3526,2020-04-16,,,
Algoma Public Health Unit,3526,2020-04-17,,,
Algoma Public Health Unit,3526,2020-04-18,,,
Algoma Public Health Unit,3526,2020-04-19,,,
Algoma Public Health Unit,3526,2020-04-20,,,
Algoma Public Health Unit,3526,2020-04-21,,,
Algoma Public Health Unit,3526,2020-04-22,,,
Algoma Public Health Unit,3526,2020-04-23,,,
Algoma Public Health Unit,3526,2020-04-24,,,
Algoma Public Health Unit,3526,2020-04-25,,,
Algoma Public Health Unit,3526,2020-04-26,,,
Algoma Public Health Unit,3526,2020-04-27,,,
Algoma Public Health Unit,3526,2020-04-28,,,
Algoma Public Health Unit,3526,2020-04-29,,,
Algoma Public Health Unit,3526,2020-04-30,,,
Algoma Public Health Unit,3526,2020-05-01,,,
Algoma Public Health Unit,3526,2020-05-02,,,
Algoma Public Health Unit,3526,2020-05-03,,,
Algoma Public Health Unit,3526,2020-05-04,,,
Algoma Public Health Unit,3526,2020-05-05,,,
Algoma Public Health Unit,3526,2020-05-06,,,
Algoma Public Health Unit,3526,2020-05-07,,,
Algoma Public Health Unit,3526,2020-05-08,,,
Algoma Public Health Unit,3526,2020-05-09,,,
Algoma Public Health Unit,3526,2020-05-10,,,
Algoma Public Health Unit,3526,2020-05-11,,,
Algoma Public Health Unit,3526,2020-05-12,,,
Algoma Public Health Unit,3526,2020-05-13,,,
Algoma Public Health Unit,3526,2020-05-14,,,
Algoma Public Health Unit,3526,2020-05-15,,,
Algoma Public Health Unit,3526,2020-05-16,,,
Algoma Public Health Unit,3526,2020-05-17,,,
Algoma Public Health Unit,3526,2020-05-18,,,
Algoma Public Health Unit,3526,2020-05-19,,,
Algoma Public Health Unit,3526,2020-05-20,,,
Algoma Public Health Unit,3526,2020-05-21,,,
Algoma Public Health Unit,3526,2020-05-22,,,
Algoma Public Health Unit,3526,2020-05-23,,,
Algoma Public Health Unit,3526,2020-05-24,,,
Algoma Public Health Unit,3526,2020-05-25,,,
Algoma Public Health Unit,3526,2020-05-26,,,
Algoma Public Health Unit,3526,2020-05-27,,,
Algoma Public Health Unit,3526,2020-05-28,,,
Algoma Public Health Unit,3526,2020-05-29,,,
Algoma Public Health Unit,3526,2020-05-30,,,
Algoma Public Health Unit,3526,2020-05-31,,,
Algoma Public Health Unit,3526,2020-06-01,,,
Algoma Public Health Unit,3526,2020-06-02,,,
Algoma Public Health Unit,3526,2020-06-03,,,
Algoma Public Health Unit,3526,2020-06-04,,,
Algoma Public Health Unit,3526,2020-06-05,,,
Algoma Public Health Unit,3526,2020-06-06,,,
Algoma Public Health Unit,3526,2020-06-07,,,
Algoma Public Health Unit,3526,2020-06-08,,,
Algoma Public Health Unit,3526,2020-06-09,,,
Algoma Public Health Unit,3526,2020-06-10,,,
Algoma Public Health Unit,3526,2020-06-11,,,
Algoma Public Health Unit,3526,2020-06-12,,,
Algoma Public Health Unit,3526,2020-06-13,,,
Algoma Public Health Unit,3526,2020-06-14,,,
Algoma Public Health Unit,3526,2020-06-15,,,
Algoma Public Health Unit,3526,2020-06-16,,,
Algoma Public Health Unit,3526,2020-06-17,,,
Algoma Public Health Unit,3526,2020-06-18,,,
Algoma Public Health Unit,3526,2020-06-19,12.0,11.0,0.0
Algoma Public Health Unit,3526,2020-06-20,,,
Algoma Public Health Unit,3526,2020-06-21,,,
Algoma Public Health Unit,3526,2020-06-22,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-06-23,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-06-24,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-06-25,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-06-26,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-06-27,,,
Algoma Public Health Unit,3526,2020-06-28,,,
Algoma Public Health Unit,3526,2020-06-29,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-06-30,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-07-01,,,
Algoma Public Health Unit,3526,2020-07-02,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-07-03,12.0,6.0,0.0
Algoma Public Health Unit,3526,2020-07-04,,,
Algoma Public Health Unit,3526,2020-07-05,,,
Algoma Public Health Unit,3526,2020-07-06,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-07-07,,,
Algoma Public Health Unit,3526,2020-07-08,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-07-09,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-07-10,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-07-11,,,
Algoma Public Health Unit,3526,2020-07-12,,,
Algoma Public Health Unit,3526,2020-07-13,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-07-14,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-07-15,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-07-16,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-07-17,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-07-18,,,
Algoma Public Health Unit,3526,2020-07-19,,,
Algoma Public Health Unit,3526,2020-07-20,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-07-21,,,
Algoma Public Health Unit,3526,2020-07-22,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-07-23,,,
Algoma Public Health Unit,3526,2020-07-24,,,
Algoma Public Health Unit,3526,2020-07-25,,,
Algoma Public Health Unit,3526,2020-07-26,,,
Algoma Public Health Unit,3526,2020-07-27,,,
Algoma Public Health Unit,3526,2020-07-28,,,
Algoma Public Health Unit,3526,2020-07-29,,,
Algoma Public Health Unit,3526,2020-07-30,,,
Algoma Public Health Unit,3526,2020-07-31,,,
Algoma Public Health Unit,3526,2020-08-01,,,
Algoma Public Health Unit,3526,2020-08-02,,,
Algoma Public Health Unit,3526,2020-08-03,,,
Algoma Public Health Unit,3526,2020-08-04,,,
Algoma Public Health Unit,3526,2020-08-05,,,
Algoma Public Health Unit,3526,2020-08-06,,,
Algoma Public Health Unit,3526,2020-08-07,,,
Algoma Public Health Unit,3526,2020-08-08,,,
Algoma Public Health Unit,3526,2020-08-09,,,
Algoma Public Health Unit,3526,2020-08-10,,,
Algoma Public Health Unit,3526,2020-08-11,,,
Algoma Public Health Unit,3526,2020-08-12,,,
Algoma Public Health Unit,3526,2020-08-13,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-08-14,12.0,11.0,0.0
Algoma Public Health Unit,3526,2020-08-15,,,
Algoma Public Health Unit,3526,2020-08-16,,,
Algoma Public Health Unit,3526,2020-08-17,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-08-18,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-08-19,12.0,10.0,0.0
Algoma Public Health Unit,3526,2020-08-20,12.0,8.0,0.0
Algoma Public Health Unit,3526,2020-08-21,12.0,9.0,0.0
Algoma Public Health Unit,3526,2020-08-22,,,
Algoma Public Health Unit,3526,2020-08-23,,,
Algoma Public Health Unit,3526,2020-08-24,,,
Algoma Public Health Unit,3526,2020-08-25,,,
