,hospital_name,ccn,collection_week,fips_code,hospitalization_percentage,ICU_percentages,hospitalization_2021-02-02,hospitalization_2021-02-03,hospitalization_2021-02-04,hospitalization_2021-02-05,hospitalization_2021-02-06,hospitalization_2021-02-07,hospitalization_2021-02-08,hospitalization_2021-02-09,hospitalization_2021-02-10,hospitalization_2021-02-11,hospitalization_2021-02-12,hospitalization_2021-02-13,hospitalization_2021-02-14,hospitalization_2021-02-15,hospitalization_2021-02-16,hospitalization_2021-02-17,hospitalization_2021-02-18,hospitalization_2021-02-19,hospitalization_2021-02-20,hospitalization_2021-02-21,hospitalization_2021-02-22,hospitalization_2021-02-23,hospitalization_2021-02-24,hospitalization_2021-02-25,hospitalization_2021-02-26,hospitalization_2021-02-27
10,PRATTVILLE BAPTIST HOSPITAL,010108,2021-01-29,1001.0,1.0,0.1891891891891892,3.2573461073276264,3.4004784928693192,3.373370086516726,3.349514688926444,3.3365026538772,3.072997913672438,2.978727887644474,2.955160381137484,3.0709485652805264,3.128330320254069,3.0955407459834734,3.008443439327202,2.793103801327086,2.6968237547108163,2.678157215060723,2.7911389024165496,2.7852442056849416,2.7410339801978787,2.7105780470845686,2.9718245293652004,2.8594492850874444,2.791579088048404,2.902841706145191,2.9039543323261587,2.8972785752403523,2.8138316116677613
11,SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,2021-01-29,1003.0,0.3234127496089523,0.40606060606060607,3.86401976655445,4.033810248972955,4.001652960636116,3.9733545468996994,3.957919048498018,3.897957230028798,3.778380015903206,3.7484857123718087,3.895357725373895,3.96814385571121,3.9265517812327446,3.8160728333993172,3.4186793109242175,3.3008352826194076,3.2779879710092916,3.4162743307547303,3.409059390246274,3.3549473364328404,3.317670143805809,3.1804463033580577,3.060182328577388,2.9875476507395597,3.106620893096656,3.1078116255202275,3.1006672309788015,3.0113622992109796
12,NORTH BALDWIN INFIRMARY,010129,2021-01-29,1003.0,0.16285824010736896,0.3484848484848485,1.9457719576053638,2.0312719237850936,2.015078748372266,2.0008287540089778,1.9930560298108209,1.9628615608502058,1.9026470681532337,1.8875934449789908,1.9615525501394024,1.9982048500419063,1.9772606786690472,1.9216277234598882,1.7215156073524795,1.6621738804722321,1.650668851791368,1.7203045517018618,1.7166713847500104,1.6894226326111212,1.6706512700265532,1.6015506140285543,1.5409902950405774,1.5044142608003148,1.564374972669598,1.564974579788291,1.5613769370761337,1.516406403174172
13,THOMAS HOSPITAL,010100,2021-01-29,1003.0,0.5137290102836788,0.1970260223048327,6.137850325284893,6.407556131855335,6.356475486671537,6.311524518909798,6.2870058092215775,6.191758711838286,6.001814796703534,5.954328817919846,6.18762949629188,6.303247531591292,6.237180082848772,6.061688422126445,5.430443731738931,5.243252917208359,5.206960820513656,5.426623511034223,5.415162848920109,5.3292078830642335,5.269994462141297,5.052019543633022,4.860984734981977,4.745607276291743,4.934750651193766,4.936642084942787,4.925293482448664,4.783435951272149
14,MEDICAL CENTER BARBOUR,010069,2021-01-29,1005.0,1.0,0.22727272727272727,1.5230810764227414,1.5900074086756713,1.5773319669611017,1.5661775782522798,1.5600933662292862,1.5756999566147385,1.5273623787525992,1.5152779842870645,1.5746491397046918,1.6040720131859942,1.58725894262525,1.5425992239482735,1.6676706182904026,1.6101849620848243,1.5990397838408854,1.6664974416331462,1.662977911661376,1.6365814368731002,1.6183971986856214,1.686012014884407,1.6222579102407062,1.5837529559509465,1.6468758318357986,1.6475070605946471,1.6437196880415559,1.5963775311279167
15,BIBB MEDICAL CENTER,010058,2021-01-29,1007.0,0.8148148148148148,0.0,0.7354971387147122,0.7678159211083014,0.7616949395943643,0.7563084758620994,0.7533704047354095,0.738304270253963,0.7156553896726476,0.7099931695273187,0.7378119032848041,0.7515981784212566,0.7437203069147124,0.7227947107254534,0.6367671070336548,0.6148173439350625,0.6105617776200293,0.636319152684704,0.6349752896378514,0.624896316786457,0.6179530243777185,0.6081684245388426,0.5851714155989611,0.5712821329719042,0.5940514487539649,0.5942791419117853,0.5929129829648618,0.5758359961283162
16,ST VINCENTS BLOUNT,011305,2021-01-29,1009.0,0.9629629629629629,0.05263157894736842,2.5178677247745953,2.6285063864491107,2.6075520944653015,2.589112317519549,2.5790542573673196,2.5367836421170504,2.4589630035459376,2.439507843903159,2.535091889104636,2.582460973452269,2.555392925253621,2.4834934222259624,2.228989547874746,2.1521548747506776,2.1372583564919303,2.2274214933211938,2.2227173296605365,2.1874361022056075,2.1631312566255447,2.2860402044918544,2.1995969021130914,2.1473885709734417,2.2329759990712277,2.2338318733522056,2.2286966276663382,2.1645060565929994
17,BULLOCK COUNTY HOSPITAL,010110,2021-01-29,1011.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,010150,2021-01-29,1013.0,0.9629629629629629,0.5555555555555556,0.805412475840019,0.8408034368289945,0.834100603308355,0.8282021098101926,0.8249847497202858,0.8108465631071988,0.785972310421016,0.7797537472494703,0.8103058184835861,0.8254466679447409,0.8167947539669381,0.7938131074633997,0.7503825343086463,0.7245163758977258,0.7195015084507104,0.74985465352475,0.748271011173061,0.7363936935353933,0.7282115413850001,0.7485738189931028,0.7202675832318509,0.7031717378710949,0.7311977138723343,0.7314779736323468,0.7297964150722723,0.7087769330713429
19,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,2021-01-29,1015.0,0.9782150533475176,0.2080536912751678,5.888503132380042,6.147252271352801,6.0982467526079605,6.055121896112501,6.031599247114978,5.912711954232326,5.7313283264266,5.685982419475167,5.9087688318887235,6.019176257509599,5.956086300011955,5.7885036004088395,5.038641898034772,4.864956739396922,4.8312830861916245,5.035097302960531,5.024463517737805,4.9447101285673645,4.8897689049166155,5.040084270860107,4.84950077727835,4.734395895016102,4.923092423314871,4.924979388597859,4.913657596899931,4.772135200675856
