,hospital_name,ccn,collection_week,fips_code,hospitalization_percentage,ICU_percentages,hospitalization_2021-03-02,hospitalization_2021-03-03,hospitalization_2021-03-04,hospitalization_2021-03-05,hospitalization_2021-03-06,hospitalization_2021-03-07,hospitalization_2021-03-08,hospitalization_2021-03-09,hospitalization_2021-03-10,hospitalization_2021-03-11,hospitalization_2021-03-12,hospitalization_2021-03-13,hospitalization_2021-03-14,hospitalization_2021-03-15,hospitalization_2021-03-16,hospitalization_2021-03-17,hospitalization_2021-03-18,hospitalization_2021-03-19,hospitalization_2021-03-20,hospitalization_2021-03-21,hospitalization_2021-03-22,hospitalization_2021-03-23,hospitalization_2021-03-24,hospitalization_2021-03-25,hospitalization_2021-03-26,hospitalization_2021-03-27
10,PRATTVILLE BAPTIST HOSPITAL,010108,2021-02-19,1001.0,1.0,0.21875,1.7000439090509916,1.7165625543211227,1.6078148062927595,1.6078148062927595,1.5004436120369076,1.690884467546952,1.6351585199347642,1.6670019185703,1.7243200361142643,1.62242116048055,1.7306887158413715,1.58261691218613,1.669941729353867,1.6962262266679364,1.6962262266679364,1.7155015246982537,1.708492325414502,1.8258964134173448,1.605106635979163,1.6952302096578642,1.7346541680220002,1.8457580506845663,1.9622379276695148,1.7884141112458232,1.8851820090487028,1.7651181358488333
11,NORTH BALDWIN INFIRMARY,010129,2021-02-19,1003.0,0.16022081781455896,0.05263157894736842,0.6552089656938992,0.661575368599427,0.6196632161380359,0.6196632161380359,0.5782815972521055,0.5080225751165881,0.49127983488204896,0.5008471150160713,0.5180682192573117,0.48745292282844016,0.519981675284116,0.475493822660912,0.47252874740224976,0.47996624080312467,0.47996624080312467,0.4854204026304329,0.48343707105686623,0.5166578749141073,0.4541829303467585,0.4574746561826055,0.4681136016752241,0.4980960844271496,0.5295293324735232,0.48262125461970445,0.5087350299197685,0.4763346050104297
12,SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,2021-02-19,1003.0,0.32991236013430486,0.3707865168539326,1.349147627641112,1.3622567543874227,1.275955003307546,1.275955003307546,1.1907456794565285,1.0460745928297903,1.0115994414653433,1.031299527959313,1.0667596836484585,1.0037194068677557,1.070699700947252,0.9790942987502931,0.9729888813026473,0.9883035016799189,0.9883035016799189,0.9995342232899179,0.9954503245226455,1.063855628874458,0.9352128177053779,0.9419908447697277,0.9638976086015816,1.0256348521277159,1.0903593816309216,0.9937704683722923,1.0475416159595703,0.9808255624716511
13,THOMAS HOSPITAL,010100,2021-02-19,1003.0,0.5098668220511363,0.3372093023255814,2.085055598108451,2.1053152476447274,1.9719392215309075,1.9719392215309075,1.8402514995451111,1.6166679176780014,1.56338790155867,1.5938336250554306,1.6486359273496005,1.551209612159966,1.654725072048952,1.5131524577890143,1.5037167707172736,1.527384925555426,1.527384925555426,1.5447415724367375,1.538430064479897,1.644147822756977,1.4453353221164982,1.4558105013964433,1.4896665595684533,1.5850790871441187,1.6851083499250585,1.5358339116211954,1.6189351453161294,1.5158280590650073
14,MEDICAL CENTER BARBOUR,010069,2021-02-19,1005.0,1.0,0.6842105263157895,0.5054631768516573,0.5103745599465723,0.4780412879050493,0.4780412879050493,0.4461172977881024,0.4544472326780985,0.43947015815480894,0.4480284864538315,0.4634334773920722,0.4360468268351999,0.4651451430518765,0.4253489164614216,0.40641888674964055,0.4128158262053012,0.4128158262053012,0.4175069151394524,0.4158010646179429,0.4443740608532271,0.3906397694256776,0.4254859981666026,0.4353810213797794,0.4632669958896413,0.4925022917467546,0.4488742348522932,0.4731620191028181,0.4430271756808706
15,BIBB MEDICAL CENTER,010058,2021-02-19,1007.0,0.8333333333333334,0.0,0.32039554206465864,0.3235086971292546,0.3030137596206651,0.3030137596206651,0.2827782517007919,0.267321901575352,0.2585118577381229,0.2635461685022538,0.2726079278776895,0.2564981334324706,0.27361479003051564,0.2502052449773069,0.22578827041646696,0.2293421256696118,0.2293421256696118,0.23194828618858465,0.23100059145441268,0.24687447825179287,0.21702209412537649,0.25355409672321283,0.2594507036237527,0.2760684139798194,0.29349020709505075,0.267491531215398,0.2819650208803593,0.26400717259235174
16,ST VINCENTS BLOUNT,011305,2021-02-19,1009.0,0.9666666666666667,0.2,0.9200505272267935,0.9289902894346652,0.8701368548995099,0.8701368548995099,0.812028400548344,0.7667144649578777,0.7414460974686821,0.7558851646053654,0.7818754854513951,0.7356704706140089,0.7847632988787315,0.7176216366931548,0.6867898192425513,0.6975997324520354,0.6975997324520354,0.7055270021389903,0.7026443586164612,0.7509286376188233,0.6601253666591574,0.6252023932736,0.6397419838148465,0.6807171935219957,0.7236750746665876,0.6595686981892737,0.6952567840632423,0.6509771219603552
17,BULLOCK COUNTY HOSPITAL,010110,2021-02-19,1011.0,0.06666666666666667,0.0,0.012367716029349062,0.01248788816890549,0.011696754916825673,0.011696754916825673,0.01091563600970889,0.010013963297108422,0.009683936258126509,0.009872523137544748,0.010211979520497577,0.009608501506359215,0.01024969689638122,0.009372767907086417,0.00847205545633469,0.008605403653443843,0.008605403653443843,0.008703192331323887,0.00866763281209478,0.00926325475918232,0.008143129903465452,0.00897036007530729,0.009178973100314436,0.009766882534425482,0.010383239199219326,0.009463445407142364,0.009975495559432631,0.009340174074183595
18,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,010150,2021-02-19,1013.0,0.9666666666666667,0.0,0.32617610499141975,0.32934542746906914,0.3084807211578771,0.3084807211578771,0.28788012505315586,0.27194699479308426,0.26298452321327453,0.2681059355445944,0.27732447774097024,0.2609359582807466,0.27834876020723415,0.25453419286659673,0.22251134330599787,0.2260136204829024,0.2260136204829024,0.22858195707929901,0.22764801649879113,0.24329152122229783,0.21387239293630017,0.2413915814859719,0.24700533919494796,0.26282592910206243,0.2794120314240372,0.25466046334355186,0.26843968681103847,0.25134324287915677
19,"NOLAND HOSPITAL ANNISTON II, LLC",012011,2021-02-19,1015.0,0.01884469181757919,,0.06903112704906539,0.06970187484225468,0.0652861185370918,0.0652861185370918,0.060926257881361356,0.05958759784081637,0.057623788119132206,0.05874596510295173,0.060765883673826855,0.0571749173256044,0.060990319070590764,0.055772196095830014,0.051385645968671,0.05219444417384421,0.05219444417384421,0.052787562857637894,0.05257188333625837,0.056184515319365365,0.04939061039591043,0.054361070785002,0.05562528173349042,0.05918805804286688,0.06292322675430992,0.05734920575415646,0.06045226899135528,0.05660217201186784
