model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Alabama,144,135,143,144,145
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Alaska,3,2,3,4,4
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Arizona,263,235,256,266,266
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Arkansas,87,80,85,87,87
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Colorado,66,61,65,67,67
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Connecticut,79,66,76,81,81
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Delaware,26,24,26,27,27
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,District of Columbia,26,24,25,27,27
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Florida,632,579,612,645,650
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Georgia,467,448,462,468,468
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Hawaii,4,3,3,5,5
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Idaho,22,21,21,23,23
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Illinois,242,215,235,242,242
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Indiana,142,126,137,142,143
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Iowa,34,29,32,35,35
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Kansas,44,39,42,45,45
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Kentucky,137,127,137,138,138
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Louisiana,114,98,110,114,115
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Maine,11,10,10,12,13
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Maryland,165,154,163,166,166
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Massachusetts,140,123,132,146,149
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Michigan,127,116,122,129,131
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Minnesota,43,42,43,44,44
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Montana,10,10,10,11,12
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,National,7734,7105,7518,7904,8096
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Nebraska,27,24,26,27,27
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Nevada,105,98,104,106,106
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,New Hampshire,16,15,15,16,16
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,New Jersey,296,250,284,306,314
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,New Mexico,40,36,38,40,40
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,New York,777,711,757,791,808
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,North Carolina,269,248,263,272,273
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,North Dakota,3,2,2,3,3
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Ohio,222,206,217,225,227
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Oklahoma,97,84,94,98,98
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Oregon,31,30,31,32,32
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Pennsylvania,303,277,295,308,310
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Puerto Rico,31,29,30,32,32
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Rhode Island,24,21,23,24,24
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,South Carolina,165,149,162,166,166
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,South Dakota,10,10,10,11,11
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Tennessee,168,160,166,168,168
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Utah,41,38,40,42,42
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Vermont,6,5,5,6,6
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Virginia,268,244,262,269,269
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,West Virginia,42,39,41,43,43
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Wisconsin,58,55,57,58,58
Covid19Sim,2021-02-28,2 day ahead inc hosp,2021-03-02,Wyoming,4,3,3,5,5
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Alabama,84,54,71,95,136
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Alaska,3,1,2,5,8
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Arizona,114,76,99,132,200
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Arkansas,45,20,33,53,73
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,California,433,365,382,526,703
Ensemble,2021-03-01,1 day ahead inc hosp,2021-03-02,Colorado,68,47,62,77,107
