  day,George Washington University Hospital_admissions,Hadley Memorial Hospital_admissions,Howard University Hospital_admissions,MedStar Georgetown University _admissions,Sibley Memorial Hospital_admissions,Providence Hospital_admissions,United Medical Center_admissions,MedStar Washington Hospital Center_admissions,Other D.C. Hospitals_admissions,Virginia_admissions,Meritus Medical Center_admissions,University of Maryland Medical Center_admissions,Prince George's Hospital Center_admissions,Holy Cross Hospital_admissions,Frederick Memorial Hospital_admissions,Mercy Medical Center_admissions,Johns Hopkins Hospital_admissions,Dorchester (UMSRH)_admissions,St. Agnes Hospital_admissions,Sinai Hospital of Baltimore_admissions,White Oak Medical Center_admissions,Garrett Memorial Hospital (WVU)_admissions,Montgomery Medical Center (MedStar)_admissions,Peninsula Regional Medical Center_admissions,Suburban Hospital_admissions,Anne Arundel Medical Center_admissions,Union Memorial Hospital (MedStar)_admissions,Western Maryland Medical Center (UPMC)_admissions,St. Mary's Hospital_admissions,Johns Hopkins Bayview Medical Center_admissions,Chestertown (UMSRH)_admissions,Carroll Hospital Center_admissions,Harbor Hospital (MedStar)_admissions,Charles Regional (UM)_admissions,Easton (UMSRH)_admissions,UMM Center Midtown Campus (acute) (Formerly Maryland General)_admissions,Calvert Memorial Hospital_admissions,Northwest Hospital_admissions,Baltimore Washington Medical Center_admissions,Greater Baltimore Medical Center_admissions,Howard County General Hospital (JHM)_admissions,Doctors Community Hospital_admissions,Greater Laurel_admissions,Good Samaritan Hospital (MedStar)_admissions,Shady Grove Adventist Hospital_admissions,Fort Washington Hospital_admissions,Atlantic General Hospital_admissions,Southern Maryland Hospital (MedStar)_admissions,St. Joseph's (UM)_admissions,Holy Cross Germantown_admissions,Queenstown Emergency Center_admissions,Franklin Square (MedStar)_admissions,Grace Medical Center_admissions,Union Hospital of Cecil County_admissions,Upper Chesapeake Medical Center (UMUCH)_admissions,Edward McCready Memorial Hospital_admissions,Harford Memorial Hospital (UMUCH)_admissions
1/1/2021,2.612903226,5.193548387,2.741935484,2.483870968,1.612903226,2.290322581,2.774193548,3.387096774,0.225806452,66.48387097,7.806451613,4.225806452,4.516129032,10.22580645,11.74193548,2.387096774,5.903225806,0.903225806,7.806451613,3.548387097,4.258064516,0.838709677,4.451612903,5.741935484,7.935483871,13.32258065,3.580645161,2.580645161,3.225806452,3.580645161,1.35483871,4.838709677,3.387096774,5.193548387,2.709677419,1.451612903,3.032258065,3.096774194,10.80645161,4.903225806,12.58064516,6.870967742,3.516129032,3.225806452,10.61290323,5.612903226,4.903225806,5.129032258,6.096774194,4.870967742,1.548387097,6.612903226,1.129032258,3.129032258,7.516129032,0.064516129,1.677419355
1/2/2021,2.451612903,5.516129032,3.032258065,2.290322581,1.290322581,2,2.35483871,4.548387097,0.258064516,69.74193548,7.35483871,4.419354839,4.709677419,11.16129032,12.35483871,3,6.838709677,0.967741935,7.193548387,3.806451613,5.032258065,0.709677419,4.774193548,6.774193548,7.935483871,13.64516129,3.225806452,2.709677419,3.709677419,4.032258065,1.032258065,5.064516129,3.935483871,6.387096774,2.387096774,1.322580645,2.903225806,3.387096774,10.90322581,4.580645161,12.93548387,6.935483871,4.032258065,3.451612903,11.38709677,5.193548387,5.709677419,5.290322581,5.580645161,4.709677419,1.322580645,7.612903226,1.129032258,2.967741935,7.193548387,0.225806452,1.64516129
1/3/2021,2.741935484,5.903225806,3.258064516,2.806451613,1.290322581,2.483870968,2.580645161,4.935483871,0.387096774,74.87096774,8.387096774,4.258064516,4.903225806,9.451612903,11.80645161,3.35483871,7.225806452,0.548387097,7.193548387,3.677419355,4.516129032,0.870967742,4.64516129,6.032258065,7.774193548,15.19354839,3.096774194,2.548387097,4.064516129,4.419354839,1.225806452,5.612903226,4.548387097,5.967741935,2.709677419,1.258064516,3.032258065,3.225806452,13.64516129,6.032258065,14.41935484,7,3.290322581,3.387096774,11.19354839,5.612903226,5.225806452,4.903225806,6.258064516,5.322580645,2.387096774,8.870967742,1.451612903,3.064516129,7.741935484,0.35483871,2.193548387
1/4/2021,3.225806452,6.225806452,3.709677419,2.322580645,1.419354839,2.516129032,3.580645161,5.322580645,0.290322581,82.64516129,7.387096774,5,4.935483871,9.161290323,10.38709677,3.258064516,7.258064516,0.935483871,6.903225806,3.225806452,4.806451613,0.677419355,4.419354839,7,9.548387097,13.87096774,3.516129032,2.451612903,4,3.741935484,1.612903226,5.741935484,3.419354839,6.096774194,2.548387097,1.64516129,3.161290323,3.419354839,12.38709677,5.258064516,14.80645161,8.064516129,3.870967742,4.064516129,11.96774194,5.516129032,5.451612903,6.193548387,6.322580645,6.387096774,1.774193548,8.903225806,1.387096774,2.64516129,7.451612903,0.387096774,2.709677419
1/5/2021,3.225806452,6.967741935,4.129032258,3.064516129,1.290322581,2.741935484,2.935483871,4.774193548,0.35483871,86.22580645,7.967741935,3.741935484,5.290322581,11.09677419,10.96774194,3.580645161,7.258064516,0.838709677,7.677419355,4.064516129,5,0.612903226,3.741935484,6.806451613,8.64516129,12.83870968,2.64516129,2,2.903225806,4.709677419,1.161290323,5.387096774,4,5.709677419,2.935483871,1.64516129,3.516129032,3.483870968,11,5.935483871,15.22580645,7.516129032,4.419354839,3.548387097,11.03225806,5.290322581,6.419354839,4.903225806,6.64516129,5.193548387,2.064516129,8.064516129,1.387096774,2.677419355,7.580645161,0.290322581,2
1/6/2021,3.451612903,6.677419355,3.709677419,3.032258065,1.580645161,2.580645161,3.225806452,5,0.258064516,90.19354839,7.193548387,5,5.129032258,9.548387097,11.16129032,3.419354839,6.64516129,0.774193548,8.838709677,4.129032258,4.838709677,0.709677419,4.64516129,5.774193548,7.967741935,12.32258065,3.483870968,2.516129032,3.903225806,4.096774194,1.516129032,5.64516129,3.483870968,6.161290323,2.516129032,1.516129032,3.774193548,3.419354839,10.96774194,5.290322581,13.29032258,5.806451613,3.451612903,3.870967742,11.06451613,4.548387097,6.032258065,5.387096774,6.096774194,5.612903226,1.580645161,9.096774194,1.064516129,3.516129032,7.838709677,0.129032258,2.64516129
1/7/2021,3.806451613,7.903225806,3.967741935,2.806451613,1.903225806,3.35483871,3.35483871,5.225806452,0.193548387,92.87096774,6.548387097,4.838709677,5.35483871,10.58064516,10.61290323,3.161290323,6.483870968,0.64516129,7.129032258,3.387096774,4.387096774,0.580645161,4.35483871,5.516129032,7.967741935,12.96774194,3.258064516,2.516129032,3.64516129,4.129032258,1.161290323,5.741935484,3.64516129,5.806451613,2.838709677,1.677419355,2.612903226,3.774193548,10.87096774,5.838709677,13.61290323,6.419354839,3.451612903,4.161290323,11.32258065,5.129032258,6.580645161,5.709677419,6.612903226,4.774193548,1.516129032,9.290322581,1.096774194,3.193548387,6.870967742,0.225806452,2.258064516
1/8/2021,3.709677419,8.548387097,4.64516129,4.032258065,2.064516129,3.451612903,3.290322581,5.387096774,0.225806452,95.12903226,6.419354839,4.64516129,4.806451613,10.5483871,10.77419355,3.225806452,6.35483871,0.806451613,7.612903226,4.096774194,4.903225806,0.677419355,4.225806452,6.161290323,7,13.16129032,3.870967742,1.709677419,3.451612903,4.612903226,1.193548387,4.967741935,3.677419355,5.129032258,2.322580645,1.419354839,3.096774194,3.580645161,11.48387097,5.516129032,15.03225806,7.064516129,3.225806452,3.419354839,10.16129032,6.129032258,6.806451613,5.774193548,6.129032258,4.935483871,1.451612903,7.935483871,1.161290323,2.193548387,8.161290323,0.161290323,2.322580645
1/9/2021,3.387096774,7.161290323,4.419354839,3.483870968,2.032258065,2.967741935,3.806451613,5.258064516,0.451612903,99.38709677,6.258064516,4.806451613,4.548387097,10.48387097,9.709677419,2.709677419,8.419354839,0.774193548,8.516129032,3.483870968,4.516129032,0.516129032,3.967741935,6.225806452,8.64516129,12.35483871,3.935483871,1.64516129,3.387096774,4.322580645,1.225806452,5.096774194,4.032258065,5.483870968,1.774193548,1.516129032,2.903225806,3.35483871,10.16129032,5.64516129,12.90322581,6.806451613,3.161290323,4.032258065,9.967741935,5.709677419,5.483870968,5.225806452,6.193548387,4.612903226,1.516129032,8.193548387,1.096774194,2.548387097,9.032258065,0.064516129,2.387096774
1/10/2021,3.709677419,7.35483871,3.64516129,3.967741935,2.580645161,3.322580645,4.096774194,5.387096774,0.451612903,103.3870968,5.387096774,4.548387097,4.548387097,9.129032258,10.90322581,4.096774194,8.096774194,0.709677419,7.935483871,3.677419355,4.516129032,0.516129032,3.419354839,5.64516129,8.290322581,12.29032258,3.516129032,2.258064516,3.35483871,3.870967742,1.064516129,4.806451613,3.741935484,5.548387097,2.193548387,1.322580645,2.741935484,3.096774194,9.612903226,5.483870968,13,6.483870968,3.580645161,3.967741935,10.22580645,5.258064516,6.129032258,5.064516129,6.806451613,4.387096774,1.64516129,8.677419355,1.580645161,2.709677419,7.580645161,0.225806452,2.193548387
