compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state
CHSP00007127,010018,Callahan Eye Foundation Hosp,1720 University Blvd,Birmingham,AL,35233,0,HSI00001116,UAB Health System,Birmingham,AL
CHSP00001741,010025,Eamc Lanier,4800 48th St,Valley,AL,36854,1,HSI00000325,East Alabama Medical Center,Opelika,AL
CHSP00004432,010054,Decatur Morgan Hospital Parkway Campus,1874 Beltline Rd Sw,Decatur,AL,35601,1,HSI00000467,Huntsville Hospital Health System,Huntsville,AL
CHSP00002927,010102,John Paul Jones Hospital,317 Mcwilliams Ave,Camden,AL,36726,0,,,,
CHSP00004643,010145,Northport Medical Center,2700 Hospital Dr,Northport,AL,35476,1,HSI00000297,DCH Health System,Tuscaloosa,AL
CHSP00007128,010167,Uab Highlands,1201 11th Ave S,Birmingham,AL,35205,1,HSI00001116,UAB Health System,Birmingham,AL
CHSP00001063,01022F,Central Alabama Veterans Health Care System,2400 Hospital Rd,Tuskegee,AL,36083,0,,,,
CHSP00007191,014016,Usa Healthcare Psych Services  Llc,1910 Cherokee Ave Sw,Cullman,AL,35055,0,,,,
CHSP00007991,015049,Eastern Shore Rehabilitation And Health Center,101 Villa Dr,Daphne,AL,36526,0,,,,
CHSP00008276,027007,Sitka Community Hospital,209 Moller Ave,Sitka,AK,99835,1,,,,
CHSP00008210,027009,Petersburg Medical Center,103 Fram St,Petersburg,AK,99833,0,,,,
CHSP00006816,030019,Tempe Saint Lukes Hospital Campus Of Saint Lukes Medical Center,1500 S Mill Ave,Tempe,AZ,85281,1,HSI00001037,Steward Health Care System,Dallas,TX
CHSP00000985,030100,Carondelet Heart And Vascular Institute,1601 W Saint Marys Rd,Tucson,AZ,85745,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000214,030102,Abrazo Arizona Heart Hospital,1930 E Thomas Rd,Phoenix,AZ,85016,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00007842,030118,Yavapai Regional Medical Center East Campus,7700 E Florentine Rd,Prescott Valley,AZ,86314,1,HSI00001273,Yavapai Regional Medical Center,Prescott,AZ
CHSP00007978,033040,Dignity Health East Valley Rehab Hos,1515 W Chandler Blvd,Chandler,AZ,85224,0,HSI00000314,Dignity Health,San Francisco,CA
CHSP00008240,033041,Rehabilitation Hospital Of Northern Arizona,1851 N Gemini Dr,Flagstaff,AZ,86001,0,,,,
CHSP00007940,033830,Copper Queen Community Hospital,101 Cole Ave,Bisbee,AZ,85603,1,,,,
CHSP00007941,034032,Copper Springs,10550 W Mcdowell Rd,Avondale,AZ,85392,0,,,,
CHSP00007234,040080,Unity Health Harris Medical Center,1205 Mclain St,Newport,AR,72112,1,HSI00001145,Unity Health,Searcy,AR
CHSP00004657,040138,Northwest Health System,3000 Medical Center Pkwy,Bentonville,AR,72712,1,HSI00000249,Community Health Systems,Franklin,TN
CHSP00004653,040141,Northwest Arkansas Hospital Llc,4301 Greathouse Springs Rd,Johnson,AR,72741,1,HSI00000249,Community Health Systems,Franklin,TN
CHSP00007923,043035,Chi St. Vincent Hot Springs Rehabili,1636 Higdon Ferry Rd,Hot Springs,AR,71913,0,,,,
CHSP00008137,043479,Lawrence Memorial Hospital,1309 W Main St,Walnut Ridge,AR,72476,0,,,,
CHSP00007977,043486,Dewitt Hospital And Nursing Home Inc,1641 S Whitehead Dr,De Witt,AR,72042,1,,,,
CHSP00005700,044010,Saint Bernards Behavioral Health,2712 E Johnson Ave,Jonesboro,AR,72401,0,HSI00000911,Saint Bernards Healthcare,Jonesboro,AR
CHSP00008381,044021,Woodridge Of West Memphis Llc,600 N 7th St,West Memphis,AR,72301,0,,,,
CHSP00008160,047008,Mcgehee Hospital Inc,900 S 3rd St,Mc Gehee,AR,71654,1,,,,
CHSP00007924,047099,Chi Saint Vincent Morrilton,4 Hospital Dr,Morrilton,AR,72110,1,HSI00000183,Catholic Health Initiatives,Englewood,CO
CHSP00007883,047326,Baptist Health Medical Center Arkadelphia,3050 Twin Rivers Dr,Arkadelphia,AR,71923,1,HSI00000074,Baptist Health,Little Rock,AR
CHSP00001819,050188,El Camino Hospital Los Gatos,815 Pollard Rd,Los Gatos,CA,95032,1,HSI00000336,El Camino Hospital,Mountain View,CA
CHSP00004243,050193,Mission Hospital Laguna Beach,31872 Coast Hwy,Laguna Beach,CA,92651,1,HSI00000852,Providence Saint Joseph Health,Renton,WA
CHSP00007372,05026F,Va Palo Alto Health Care System Livermore Division,4951 Arroyo Rd,Livermore,CA,94550,0,,,,
CHSP00005930,050270,Scripps Mercy Hospital Chula Vista,435 H St,Chula Vista,CA,91910,1,HSI00000968,Scripps Health,San Diego,CA
CHSP00001231,050369,Citrus Valley Medical Center Queen Of The Valley Hospital,1115 S Sunset Ave,West Covina,CA,91790,1,HSI00000226,Citrus Valley Health Partners,Covina,CA
CHSP00000081,050470,Adventist Medical Center Selma,1141 Rose Ave,Selma,CA,93662,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00005269,050571,Promise Hospital Of East Los Angeles Lp,16453 Colorado Ave,Paramount,CA,90723,0,,,,
CHSP00006063,050613,Seton Coastside,600 Marine Blvd,Moss Beach,CA,94038,1,HSI00001224,Verity Health System,El Segundo,CA
CHSP00004598,050680,Northbay Health Care Group,1000 Nut Tree Rd,Vacaville,CA,95687,1,HSI00000755,Northbay Healthcare Group,Fairfield,CA
CHSP00006991,050749,Thousand Oaks Surgical Hospital,401 Rolling Oaks Dr,Thousand Oaks,CA,91361,0,HSI00000492,HCA Healthcare,Nashville,TN
CHSP00007911,050782,Casa Colina Hospital And Centers For,255 E Bonita Ave,Pomona,CA,91767,0,,,,
CHSP00001500,053028,Cottage Rehabilitation Hospital,2415 De La Vina St,Santa Barbara,CA,93105,0,HSI00000283,Cottage Health System,Santa Barbara,CA
CHSP00008332,053038,Totally Kids Rehabilitation Hospital,1720 Mountain View Ave,Loma Linda,CA,92354,0,,,,
CHSP00007908,053039,California Rehabilitation Institute,2070 Century Park E,Los Angeles,CA,90067,0,,,,
CHSP00006127,053310,Shriners Hospital For Crippled Child,909 S Fair Oaks Ave,Pasadena,CA,91105,0,HSI00000981,Shriners Hospitals for Children,Tampa,FL
