Facility Name,Region,County,Modified Date,Time ,COVID-19 Patients in Acute Care Beds,COVID-19 Patients in ICU,Ventilators Available,Ventilators in Use,Physical Adult ICU Beds,Staffed Adult ICU Beds,Occupied Adult ICU Beds,Physical Pediatric ICU Beds,Staffed Pediatric ICU Beds,Occupied Pediatric ICU Beds,Physical Adult Acute Care Beds,Staffed Adult Acute Care Beds,Occupied Adult Acute Care Beds,Physical Pediatric Acute Care Beds,Staffed Pediatric Acute Care Beds,Occupied Pediatric Acute Care Beds,Patients in the ED,Have you expanded into non traditional spaces?,"If you have expanded, how many beds have you added?",Indicator of Clinical Staff Absenteeism,ECMO Adult Machines,ECMO Peds/Neonate Machines,Patients Under Investigation
Anne Arundel Medical Center,Region III,Anne Arundel County,3/25/20,,4,3,19,null,38,30,22,0,0,0,264,230,194,10,8,1,21,No,0,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,3/26/20,,8,1,24,null,30,30,24,0,0,0,230,181,181,10,8,2,17,No,0,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,3/27/20,,11,3,19,null,30,30,25,0,0,0,230,185,180,10,8,3,25,No,0,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,3/28/20,,11,4,17,null,30,30,19,0,0,0,230,190,185,10,8,3,15,No,0,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,3/29/20,,8,4,17,null,30,30,19,0,0,0,230,200,190,10,10,2,18,No,0,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,3/30/20,,8,3,22,null,30,30,18,0,0,0,230,200,190,10,10,2,20,No,0,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,3/31/20,,10,4,17,null,30,30,21,0,0,0,326,250,188,10,10,5,17,No,76,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/1/20,1:26:00 PM,null,null,15,null,30,30,26,0,0,0,326,250,209,10,10,10,24,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/2/20,10:46:20 AM,8,6,15,16,30,30,2,0,0,0,326,250,200,10,10,10,20,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/3/20,1:52:46 PM,13,8,16,14,30,30,20,0,0,0,326,250,195,10,10,3,19,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/4/20,1:16:06 PM,18,14,16,14,30,30,20,0,0,0,326,250,196,10,10,3,20,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/5/20,10:22:07 AM,68,14,19,15,30,30,21,0,0,0,326,250,200,10,10,3,24,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/6/20,10:44:20 AM,57,13,19,15,30,30,24,0,0,0,326,250,178,10,10,2,23,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/7/20,11:19:05 AM,67,9,12,21,30,30,21,0,0,0,326,250,204,10,10,4,22,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/8/20,10:26:22 AM,45,12,9,21,30,30,21,0,0,25,326,250,212,10,10,4,23,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/9/20,1:09:26 PM,36,11,22,21,30,30,21,0,0,25,326,250,226,10,10,2,12,No,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/10/20,10:58:08 AM,31,15,62,24,38,30,21,0,0,25,326,250,203,10,10,1,12,Yes,null,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/11/20,1:35:55,36,19,63,24,38,30,30,0,0,25,326,250,174,10,10,1,18,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/12/20,1:17:58,54,19,60,26,38,30,27,0,0,25,326,250,175,10,10,5,19,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/13/20,2:22:32 PM,51,16,56,30,38,30,30,0,0,0,326,250,219,10,10,3,17,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/14/20,10:08:08 AM,40,17,57,30,38,30,30,0,0,0,326,250,233,10,10,3,18,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/15/20,9:38:18,60,21,56,32,38,30,35,0,0,0,326,250,243,10,10,2,19,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/16/20,10:34:56,58,22,55,33,38,30,34,0,0,0,326,250,261,10,10,3,20,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/17/20,14:10:00,61,20,56,28,38,30,3,0,0,0,326,250,255,10,10,3,18,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/18/20,11:57:00,78,19,56,28,38,30,28,0,0,0,326,280,272,10,10,3,21,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/19/20,13:59:00,65,23,56,30,38,30,29,0,0,0,326,280,255,10,10,2,26,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/20/20,10:07:00,70,23,56,30,38,30,29,0,0,0,326,280,253,10,10,3,18,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/21/20,13:58:00,81,18,56,30,38,30,25,0,0,0,326,280,258,10,10,4,10,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/22/20,12:11:00,72,19,62,30,38,30,27,0,0,0,326,280,257,10,10,3,2,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/23/20,13:02:00,73,21,61,26,38,30,21,0,0,0,326,280,262,10,10,3,25,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/24/20,13:57:00,77,17,99,21,38,30,22,0,0,0,326,280,243,10,10,2,10,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/25/20,14:17:00,80,16,99,25,38,30,27,0,0,0,326,280,244,10,10,1,11,Yes,25,null,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/26/20,09:52:00,76,17,99,24,38,30,29,0,0,0,326,280,249,10,10,2,15,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/27/20,12:41:00,74,17,99,25,38,30,33,0,0,0,326,280,234,10,10,2,16,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/28/20,12:27:00,70,20,99,30,38,30,35,0,0,0,326,280,244,10,10,4,22,Yes,25,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/29/20,09:24:00,68,18,99,26,38,30,33,0,0,0,326,280,242,10,10,4,26,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,4/30/20,12:57:00,70,19,99,null,38,30,29,0,0,0,326,280,239,10,10,5,21,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/1/20,10:46:00,72,19,99,26,38,30,29,0,0,0,326,280,239,10,10,4,21,Yes,439,1,0,0,
Anne Arundel Medical Center,Region III,Anne Arundel County,5/2/20,13:03:00,64,19,99,24,38,30,29,0,0,0,326,280,238,10,10,4,31,Yes,439,1,0,0,
